,1/(x_max_output),1/sensitivity,y_max_output,refractory_period,time_to_max_x,1/dlog_x
A1,87.61362028535862,0.011148113979801446,0.007293835323946178,5.000000000000004,0.1430000000000001,[65.88794865639328]
A2,78.17051296945414,0.013954927393189907,0.06741168812238314,2.8639999999997956,0.1310000000000001,[63.70642797415748]
A3,27.825338428708378,0.057341162728920855,0.21737832474263483,2.679999999999816,0.11700000000000009,[63.70642797415748]
