,a,b,c,d,f,g
threshold,-1.0698130777724972,0.0,-0.035897562607751454,1.042548515505309,0.0,0.0
pulse_amplitude,1.892285439965756,-0.9044542314737547,0.007981533205025497,1.1006877101872752,-1.1695490537416529,0.8131864558925216
refractory,-0.03580488989286062,-0.0013205020513120962,-0.027669306973349572,0.009233834478152625,-0.012174930707874369,-0.9709428702936577
