,a,b,c,d,f,g
threshold,-1.0698130777724972,0.0,-0.035897562607751454,1.042548515505309,0.0,0.0
pulse_amplitude,1.7338504483466737,-0.8128843586463976,1.1059474442370405,-0.18462316672925896,-0.967468150891609,0.24552532349764533
refractory,-0.03580488989286062,-0.0013205020513120962,-0.027669306973349572,0.009233834478152625,-0.012174930707874369,-0.9709428702936577
