,x_max_output,1/(time_to_max_x),1/(y_max_output),dlog_x
A1,87.61362028535862,6.993006993006988,0.007293835323946178,0.015
A2,78.17051296945414,7.633587786259537,0.06741168812238314,0.015
A3,27.825338428708378,8.54700854700854,0.21737832474263483,0.0007
